Game Date DH Vis  Hom  Lg Inn By  Occ Batter            Scoring                          Play                 Note   Players
"07/10/1890   CHN  BSN  NL  1  CHN 123 Steve Brodie       6(B)65(3)53(1)/LTP           6*-5*-3*              Jimmy(JJ) Cooney ss,Tom Burns 3b,Cap Anson 1b"
"07/13/1890   PH4  SL4  AA  9  SL4 123 Jack O'Brien       4(B)43(1)3XH(32)/LTP         4*-3*-2*              Bill Higgins 2b,Ed Cartwright 1b,John Munyan c"
"07/15/1890   CHP  PHP  PL  8  CHP 123 John Pickett       42(3)5(2)4(1)/GTP            4-2*-5*-4*            Fred Pfeffer 2b,Duke Farrell c,Jack Boyle 3b,Fred Pfeffer 2b"
"07/18/1890   CN2  BSN  NL  7  BSN 12- Bug Holliday       6(B)6(2)63(1)/FTP            6*-6*-3*              Herman Long ss,Tommy Tucker 1b"
"07/30/1890   BRP  CHP  PL  7  CHP 12- George Van Haltren 3(B)3(1)36(2)/LTP            3*-3*-6*              Charlie Comiskey 1b,Charlie Bastian ss"
"08/15/1890   PTP  CHP  PL  3  PTP 12- Tip O'Neill        6(B)64(2)43(1)/LTP           6*-4*-3*              Tommy Corcoran ss,Yank Robinson 2b,Jake Beckley 1b"
"08/21/1890   PH4  LS2  AA  5  PH4 12- Harry Taylor       1(B)13(1)34(2)/LTP           1*-3*-4*              Sadie McMahon p,Jack O'Brien 1b,Ben Conroy 2b"
"09/06/1890   NYP  BRP  PL  7  BRP 12- Dick Johnston      1(B)13(1)36(2)/LTP           1*-3*-6*              Gus Weyhing p,Dave Orr 1b,Monte Ward ss"
"09/08/1890   BRO  PHI  NL  2  PHI 12- Germany Smith      6(B)64(2)43(1)/FTP           6*-4*-3*              Bob Allen ss,Al Myers 2b,Al McCauley 1b"
"09/14/1890   BL3  PH4  AA  8  BL3 -23 George Carman      K+CS2(26)3XH(6254)/TP        2*-6*-2-5-4*          George Townsend c,Irv Ray ss,George Townsend c,Pete Gilbert 3b,Tom Power 2b"
"09/29/1890   BSP  BFP  PL  9  BFP 12- Billy Nash         4(B)43(1)36(2)/FTP           4*-3*-6*              Spider Clark 2b,John Irwin 1b,Jack Rowe ss"
"10/11/1890 1 SR2  PH4  AA  1  SR2 12- Joe Daly           6(B)64(2)43(1)/LTP           6*-4*-3*              Grant Briggs ss,Cupid Childs 2b,Mox McQuery 1b"
"04/23/1891   BRO  PHI  NL  9  PHI 123 Darby O'Brien      5(B)5(3)56(2)/LTP            5*-5*-6*              Billy Shindle 3b,Bob Allen ss"
"05/05/1891   PIT  CHN  NL  6  CHN 12- Pete Browning      4(B)46(2)63(1)/PTP           4*-6*-3*              Fred Pfeffer 2b,Jimmy(JJ) Cooney ss,Cap Anson 1b"
"05/20/1891   BSN  CL4  NL  4  BSN 123 Chief Zimmer       3XH(12)23(B)2XH(32)/GTP      1-2*-3*-2*            Charlie Getzien p,Charlie Bennett c,Tommy Tucker 1b,Charlie Bennett c"
"05/22/1891   NY1  CN2  NL  9  CN2 12- Mickey Welch       6(B)64(2)43(1)/LTP           6*-4*-3*              Germany Smith ss,Bid McPhee 2b,John Reilly 1b"
"05/26/1891   BS2  CN3  AA  9  BS2 1-3 Frank Dwyer        4/L/TP.3XH(42);1X2(24)       4*-2*-4*              Cub Stricker 2b,Duke Farrell c,Cub Stricker 2b"
"06/11/1891   PIT  NY1  NL  7  NY1 123 Charlie Reilly     8(B).3H.2X3(85)1X2(543)/FTP  8*-5*-4-3*            George Gore cf,Artie Clarke 3b,Charley Bassett 2b,Roger Connor 1b"
"06/15/1891   CHN  NY1  NL  4  NY1 12- Jimmy E Cooney     7(B)76(2)63(1)/FTP           7*-6*-3*              Jim O'Rourke lf,Danny Richardson ss,Roger Connor 1b"
"08/28/1891   BRO  CN2  NL  7  CN2 12- Mike Griffin       4(B)46(2)63(1)/LTP           4*-6*-3*              Bid McPhee 2b,Germany Smith ss,John Reilly 1b"
"09/11/1891   BS2  SL4  AA  7  SL4 12- Tom Cotter         6(B)6(2)63(1)/LTP            6*-6*-3*              Tommy McCarthy ss,Charlie Comiskey 1b"
"07/21/1892   PIT  BLN  NL  2  PIT 12- Wilbert Robinson   F5.BX1(53)2(36)/PTP          5*-3*-6*              Duke Farrell 3b,Jake Beckley 1b,Frank Shugart ss"
"08/05/1892   BSN  BRO  NL  4  BSN 123 George Haddock     3XH(52)23(B)2XH(32)/GTP      5-2*-3*-2*            Billy Nash 3b,King Kelly c,Tommy Tucker 1b,King Kelly c"
